"Place","Name","Time","Mode","Date"
"1","Tibs","05:19:19","Co-Star","2024-08-12"
"2","Jhay","05:20:36","Co-Star","2023-05-14"
"3","Psyduck64","05:32:00","Co-Star","2024-03-22"
"4","Sailo","05:32:03","Co-Star","2023-03-05"
"5","xzRockin","05:33:40","Co-Star","2022-06-05"
"6","daiden","05:36:13","Co-Star","2022-06-01"
"7","HardcoreGaming","05:36:18","Co-Star","2021-09-30"
"8","CreepyGar","05:39:57","No Co-Star","2021-07-06"
"9","Odme_","05:40:20","Co-Star","2023-07-29"
"10","Mr.CloudKirby","05:41:53","No Co-Star","2020-06-30"
"11","AbyS5aL","05:46:57","No Co-Star","2024-03-16"
"12","ariapath","05:53:30","Co-Star","2023-05-15"
"13","Vallu","05:53:50","No Co-Star","2018-07-27"
"14","Flygonman","05:55:01","Co-Star","2021-06-05"
"15","ClairDSS","06:01:24","Co-Star","2019-11-29"
"16","Shadow64","06:02:52","Co-Star","2024-08-03"
"17","TheSludgyGamer","06:03:35","No Co-Star","2018-02-17"
"18","Ireneverse","06:14:24","Co-Star","2024-02-11"
"19","Breadghost","06:15:29","No Co-Star","2020-04-01"
"20","Hexaroot","06:15:56","No Co-Star","2022-12-10"
"21","LoneLexiTheSlowGamer","06:16:29","Co-Star","2023-07-05"
"22","galax.v","06:16:49","No Co-Star","2021-06-06"
"23","SupFAE","06:17:11","No Co-Star","2021-10-10"
"24","amarishiro","06:19:06","No Co-Star","2017-12-29"
"25","keegansimyh","06:20:22","No Co-Star","2021-12-21"
"26","TheMine2001","06:23:24","No Co-Star","2020-08-12"
"27","Kayaraya","06:24:22","No Co-Star","2015-05-26"
"28","baconguuy","06:27:33","No Co-Star","2022-10-26"
"29","Nocturne","06:29:40","No Co-Star","2015-06-29"
"30","drayden_","06:30:08","No Co-Star","2019-08-09"
"31","SwaGh","06:30:26","Co-Star","2024-04-14"
"32","360Chrism","06:30:51","No Co-Star","2016-12-14"
"33","WolfSki","06:32:55","No Co-Star","2019-10-29"
"34","Lemons_Picrun","06:33:25","Co-Star","2021-08-13"
"35","KingJ0444","06:33:51","No Co-Star","2021-08-12"
"36","Timba","06:34:44","No Co-Star","2019-05-11"
"37","P4ntz","06:35:55","No Co-Star","2015-04-28"
"38","84th","06:36:32","No Co-Star","2019-01-06"
"39","Castle","06:36:44","Co-Star","2021-08-16"
"40","Phillie","06:38:10","No Co-Star","2021-09-03"
"41","Bandow","06:40:29","No Co-Star","2017-07-16"
"42","Joecool57","06:40:49","Co-Star","2021-12-18"
"43","PaulintheHall","06:41:43","No Co-Star","2019-09-13"
"44","Iamatruegam3r","06:42:37","No Co-Star","2019-04-20"
"45","Latedog","06:42:42","No Co-Star","2014-07-01"
"46","MarioMan","06:43:01","No Co-Star","2017-05-08"
"47","Me_Tube","06:43:13","No Co-Star","2022-03-05"
"48","Tackleshift8","06:47:42","No Co-Star","2021-08-14"
"49","Nintendude64","06:51:08","No Co-Star","2018-11-21"
"50","MLSTRM","06:51:30","No Co-Star","2014-12-20"
"51","MetalPipe","06:52:12","Co-Star","2024-03-10"
"52","ro__money","06:53:54","No Co-Star","2024-08-03"
"53","Alaeus","06:53:56","No Co-Star","2019-04-10"
"54","TheOnly0","06:54:33","No Co-Star","2014-11-26"
"55","NinShado","06:54:52","No Co-Star","2022-01-05"
"56","PabloDiazViolin","06:57:26","Co-Star","2024-07-20"
"57","Cosmoing","06:58:43","No Co-Star","2017-12-29"
"58","Nethna","07:00:55","No Co-Star","2020-12-20"
"59","Suhti","07:01:44","No Co-Star","2022-12-24"
"60","Javoxxib","07:06:49","No Co-Star","2015-12-26"
"61","Rici64","07:07:17","No Co-Star","2022-08-06"
"62","konkuu","07:07:31","No Co-Star","2011-08-08"
"63","Konkuu","07:08:49","No Co-Star","2014-11-26"
"64","pinguino","07:12:16","No Co-Star","2014-03-29"
"65","SmilingSatyr","07:13:34","No Co-Star","2016-08-06"
"66","qwerteria","07:14:29","Co-Star","2024-08-03"
"67","Harmonious","07:16:37","No Co-Star","2021-03-18"
"68","Zale","07:16:44","Co-Star","2020-03-07"
"69","g0goTBC","07:16:58","No Co-Star","2016-03-17"
"70","Dinosaur111","07:18:13","Co-Star","2023-05-28"
"71","WorldStar9","07:25:34","No Co-Star","2024-05-13"
"72","SonicBoomSensei","07:27:01","No Co-Star","2017-03-14"
"73","snarfybobo","07:28:22","No Co-Star","2015-02-09"
"74","LoogiTheDino","07:28:25","No Co-Star","2020-02-27"
"75","person027","07:33:54","No Co-Star","2022-09-05"
"76","Ninjazane7474","07:38:52","No Co-Star","2022-08-13"
"77","xisaiahx","07:39:06","No Co-Star","2018-01-26"
"78","Jack_8DX","07:40:58","No Co-Star","2024-04-05"
"79","Conklestothemax","07:41:25","No Co-Star","2017-06-16"
"80","Glennjamin","07:43:50","No Co-Star","2020-11-11"
"81","Okikurume","07:46:44","No Co-Star","2014-11-26"
"82","ThatHomieDemon","07:48:22","No Co-Star","2024-06-07"
"83","CostilerAphid18","07:48:30","No Co-Star","2021-08-14"
"84","Airsalad","07:49:26","undefined","2020-07-18"
"85","Mario104","07:50:11","No Co-Star","2024-03-16"
"86","Linkfan21","07:54:15","No Co-Star","2014-11-26"
"87","Theworm","07:55:27","No Co-Star","2014-11-26"
"88","Podz","07:55:41","No Co-Star","2017-04-30"
"89","icupspeedruns","07:55:53","No Co-Star","2022-05-18"
"90","FilthyScrub","07:58:37","No Co-Star","2020-05-26"
"91","Cluster2005","08:00:23","No Co-Star","2019-05-11"
"92","A2Rhombus","08:03:38","No Co-Star","2023-12-29"
"93","RoboNick37","08:09:49","No Co-Star","2018-07-26"
"94","linky628","08:11:57","No Co-Star","2014-12-06"
"95","BennyTheGreat","08:13:28","No Co-Star","2020-09-26"
"96","bbqsauz","08:17:58","No Co-Star","2015-05-15"
"97","parenardtv","08:21:20.200","No Co-Star","2024-08-08"
"98","Nkitten","08:21:21","No Co-Star","2014-06-17"
"99","Nick_","08:23:15","No Co-Star","2017-08-07"
"100","HystericalPeanut","08:26:31","No Co-Star","2023-11-30"
"101","Awesome7285","08:31:53","No Co-Star","2020-09-22"
"102","LunarLemon","08:35:16","No Co-Star","2022-07-12"
"103","Paperario","08:35:22","No Co-Star","2014-11-26"
"104","Ramewle","08:37:54","No Co-Star","2014-11-26"
"105","Sabi2798","08:38:19","No Co-Star","2020-05-19"
"106","Bluegh","08:42:12","No Co-Star","2020-01-01"
"107","AprilSR","08:42:57","Co-Star","2015-05-24"
"108","Dalton","08:46:02","No Co-Star","2016-08-11"
"109","PKGinger","08:51:19","No Co-Star","2020-06-28"
"110","llunaecy","08:54:59","No Co-Star","2017-07-01"
"111","UnSaVT","08:56:06","No Co-Star","2021-07-05"
"112","An_D","08:59:44","No Co-Star","2023-06-08"
"113","Xander","09:03:15","Co-Star","2020-10-17"
"114","Dustin_Lionheart","09:04:45","No Co-Star","2022-07-10"
"115","waz00","09:05:16","No Co-Star","2024-03-26"
"116","TWW2","09:08:53","No Co-Star","2014-07-05"
"117","Octoverse","09:12:03","No Co-Star","2022-02-05"
"118","welldooder64","09:12:11","No Co-Star","2015-08-23"
"119","Yoshikiller109","09:15:47","No Co-Star","2022-10-16"
"120","5eil","09:16:17","No Co-Star","2021-08-15"
"121","starsmiley","09:18:12","No Co-Star","2017-07-19"
"122","tyan3","09:21:59","No Co-Star","2016-12-28"
"123","SuperPopple","09:23:00","No Co-Star","2015-04-28"
"124","Askover","09:23:56","No Co-Star","2019-06-20"
"125","SaintMT","09:26:52","No Co-Star","2023-02-21"
"126","cobiscobby","09:30:23","No Co-Star","2020-04-05"
"127","asheevee_","09:36:03","No Co-Star","2015-05-22"
"128","Devil6Lair","09:37:24","No Co-Star","2014-06-23"
"129","DillyBird_BK","09:37:34","No Co-Star","2020-12-19"
"130","Pokemon73LP","09:37:47","No Co-Star","2015-08-29"
"131","NeilLegend","09:38:27","No Co-Star","2023-07-24"
"132","Marexillius","09:38:39","No Co-Star","2021-04-03"
"133","nzjg","09:42:18","No Co-Star","2017-12-27"
"134","Desaster","09:42:59","No Co-Star","2023-04-12"
"135","loudermonkeyboy","09:51:37","No Co-Star","2016-09-12"
"136","Bolobo","09:56:12","No Co-Star","2020-04-04"
"137","Uvideo","09:56:13","No Co-Star","2019-01-02"
"138","LPhantom","09:57:14","No Co-Star","2021-12-28"
"139","whitefire","09:58:14","No Co-Star","2017-07-30"
"140","JuZockt","09:59:30","No Co-Star","2021-05-24"
"141","Otterstone_Gamer","10:01:22","No Co-Star","2018-03-06"
"142","real_jerryjason","10:04:03","No Co-Star","2021-07-07"
"143","ahbeef","10:14:37","No Co-Star","2016-06-09"
"144","tenmetresam","10:37:22","No Co-Star","2023-07-07"
"145","GreenSnowDog","10:59:58","No Co-Star","2021-05-20"
"146","BlauerKeks","11:00:09","No Co-Star","2018-03-22"
"147","DanimalSounds","11:13:15","No Co-Star","2016-06-25"
"148","switch_runner","11:34:10","No Co-Star","2021-12-28"
"149","captain_saumon","11:39:15","No Co-Star","2021-06-27"
"150","Mooismyusername","11:39:19","No Co-Star","2020-06-28"
"151","Fable","11:45:11","No Co-Star","2020-09-20"
"152","Dapieday","11:48:48","No Co-Star","2019-01-27"
"153","FourG","12:06:15","No Co-Star","2017-02-17"
"154","80rthia","12:53:24","No Co-Star","2017-01-06"
"155","Hdipan","12:57:39","No Co-Star","2022-07-28"
